DATE,,Total Sleep (h),minutes,REM,minutes,Light,minutes,Deep,minutes,Caffeine (mg),,Productivity (h),minutes
November 1, ,  6 h 52 m,412, 1 h 5 m,65, 4 h 53 m,293, 54 m,54, 0 mg,, 1 h,60
November 2,, 6 h 49 m,409, 1 h 31 m,91, 4 h 8 m,248, 1 h 10 m,70, 15 mg,, 1 h 30 m,90
November 3,, 8 h 11m,491, 1 h 57 m,117, 5 h 37 m,337, 37 m,37, 135 mg,, 3 h 30 m,210
November 4,, 8 h 0 m,480, 2 h 3 min,123, 4 h 48 m,288, 1 h 9 m,59, 25 mg,, 1 h 45 m,105
November 5,, 7 h 1 m,421, 1 h 28 m,88, 3 h 11 m,191, 1 h 15 m,75, 75 mg,, 2 h,120
November 6,, 7 h 24 m,444, 1 h 28 m,88, 4 h 50 m,290, 1 h 6 m,66, 0 mg,, 1 h 30 min,90
November 7,, 9 h 17 m,557, 2 h 25 m,145, 5 h 42 m,342, 1 h 10 m,70, 135 mg,, 5 h 15 min,315
November 8,, 7 h 34 m,454, 1 h 42 m,102, 5 h 17 m,317, 35 m,35, 270 mg,, 6 h,360
November 9,, 5 h 24 m,324,  1h 5 m ,65, 3 h 27 m,207, 52 m,52, 14 mg,, 1 h 30 m,90
November 10,, 5 h 43 m,343, 49 m ,49, 4 h 18 m,258, 36 m,36, 0 mg,, 1 h,60
November 11,, 7 h 28 m,448, 1 h 51 m,111, 4 h 39 m,279, 58 m,58, 25 mg,, 3 h,180
November 12,, 7 h 58 m,478, 1 h 2 m,62, 6 h 19 m,379, 37 m,37, 25 mg,, 2 h 30 m,150
November 13,, 7 h 26 m,446, 1 h 47 m,107, 4 h 43 m,283, 56 m,56, 135 mg,, 3 h 20 m,200
November 14,, 8 h 5 m,485, 1 h 35 m,95, 5 h 27 m,327, 1 h 3 m,63, 135 mg,, 5 h,300
November 15,, 6 h 37 m,397, 1 h 33 m,93, 4 h 13 m,253, 51 m,51, 135 mg,, 3 h,180
November 16,, 7 h 51 m,471, 1 h 41 m,101, 5 h 4 m,304, 1 h 6 m,66, 25 mg,, 2 h,120
November 18,, 7 h 38 m,458, 1 h 44 m,104, 5 h 1 m,301, 53 m,53, 285 mg,, 4 h 30 m,270
November 19,, 7 h 39 m,459, 1 h 49 m,109, 5 h 11 m,311, 39 m,39, 335 mg,, 5 h 15 min,315
November 20,, 6 h 58 m,418, 1 h 16 m,76, 4 h 43 m,283, 59 m,59, 0 mg,, 1 h 45 m,105
November 21,, 7 h 44 m,464, 1 h 29 m,89, 5 h 26 m,326, 49 m,49, 410 mg,, 6 h,360
November 22,, 6 h 20 m,380, 1 h 15 m,75, 4 h 31 m,271, 34 m,34, 135 mg,, 3 h 10 m,190
November 23,, 7 h 48 m,468, 1 h 44 m,104, 5 h 20 m,320, 44 m,44, 210 mg,, 6 h,360
November 24,, 7 h 30 m,450, 1 h 36 m,96, 5 h 4 m,304, 50 m,50, 75 mg,, 5 h,300
November 25,, 5 h 40 m,340, 1 h 25 m,85, 3 h 42 m,222, 33 m,33, 135 mg,, 2 h 25 m,145
November 26,, 7 h 48 m,468, 2 h 22 m,142,4 h 43 m,283, 43 m,43, 135mg,, 5 h,240
